order_item_id,order_id,product_id,quantity,unit_price
oi00001,o00001,p001,1,15.00
oi00002,o00002,p002,2,20.00
oi00003,o00003,p003,3,25.00
oi00004,o00004,p004,4,30.00
oi00005,o00005,p005,1,35.00
oi00006,o00006,p006,2,40.00
oi00007,o00007,p007,3,45.00
oi00008,o00008,p008,4,50.00
oi00009,o00009,p009,1,55.00
oi00010,o00010,p010,2,60.00
oi00011,o00011,p001,3,15.00
oi00012,o00012,p002,4,20.00
oi00013,o00013,p003,1,25.00
oi00014,o00014,p004,2,30.00
oi00015,o00015,p005,3,35.00
oi00016,o00016,p006,4,40.00
oi00017,o00017,p007,1,45.00
oi00018,o00018,p008,2,50.00
oi00019,o00019,p009,3,55.00
oi00020,o00020,p010,4,60.00
oi00021,o00021,p001,1,15.00
oi00022,o00022,p002,2,20.00
oi00023,o00023,p003,3,25.00
oi00024,o00024,p004,4,30.00
oi00025,o00025,p005,1,35.00
oi00026,o00026,p006,2,40.00
oi00027,o00027,p007,3,45.00
oi00028,o00028,p008,4,50.00
oi00029,o00029,p009,1,55.00
oi00030,o00030,p010,2,60.00
oi00031,o00031,p001,3,15.00
oi00032,o00032,p002,4,20.00
oi00033,o00033,p003,1,25.00
oi00034,o00034,p004,2,30.00
oi00035,o00035,p005,3,35.00
oi00036,o00036,p006,4,40.00
oi00037,o00037,p007,1,45.00
oi00038,o00038,p008,2,50.00
oi00039,o00039,p009,3,55.00
oi00040,o00040,p010,4,60.00
oi00041,o00041,p001,1,15.00
oi00042,o00042,p002,2,20.00
oi00043,o00043,p003,3,25.00
oi00044,o00044,p004,4,30.00
oi00045,o00045,p005,1,35.00
oi00046,o00046,p006,2,40.00
oi00047,o00047,p007,3,45.00
oi00048,o00048,p008,4,50.00
oi00049,o00049,p009,1,55.00
oi00050,o00050,p010,2,60.00
oi00051,o00051,p001,3,15.00
oi00052,o00052,p002,4,20.00
oi00053,o00053,p003,1,25.00
oi00054,o00054,p004,2,30.00
oi00055,o00055,p005,3,35.00
oi00056,o00056,p006,4,40.00
oi00057,o00057,p007,1,45.00
oi00058,o00058,p008,2,50.00
oi00059,o00059,p009,3,55.00
oi00060,o00060,p010,4,60.00
oi00061,o00061,p001,1,15.00
oi00062,o00062,p002,2,20.00
oi00063,o00063,p003,3,25.00
oi00064,o00064,p004,4,30.00
oi00065,o00065,p005,1,35.00
oi00066,o00066,p006,2,40.00
oi00067,o00067,p007,3,45.00
oi00068,o00068,p008,4,50.00
oi00069,o00069,p009,1,55.00
oi00070,o00070,p010,2,60.00
oi00071,o00071,p001,3,15.00
oi00072,o00072,p002,4,20.00
oi00073,o00073,p003,1,25.00
oi00074,o00074,p004,2,30.00
oi00075,o00075,p005,3,35.00
oi00076,o00076,p006,4,40.00
oi00077,o00077,p007,1,45.00
oi00078,o00078,p008,2,50.00
oi00079,o00079,p009,3,55.00
oi00080,o00080,p010,4,60.00
oi00081,o00081,p001,1,15.00
oi00082,o00082,p002,2,20.00
oi00083,o00083,p003,3,25.00
oi00084,o00084,p004,4,30.00
oi00085,o00085,p005,1,35.00
oi00086,o00086,p006,2,40.00
oi00087,o00087,p007,3,45.00
oi00088,o00088,p008,4,50.00
oi00089,o00089,p009,1,55.00
oi00090,o00090,p010,2,60.00
oi00091,o00091,p001,3,15.00
oi00092,o00092,p002,4,20.00
oi00093,o00093,p003,1,25.00
oi00094,o00094,p004,2,30.00
oi00095,o00095,p005,3,35.00
oi00096,o00096,p006,4,40.00
oi00097,o00097,p007,1,45.00
oi00098,o00098,p008,2,50.00
oi00099,o00099,p009,3,55.00
oi00100,o00100,p010,4,60.00
oi00101,o00101,p001,1,15.00
oi00102,o00102,p002,2,20.00
oi00103,o00103,p003,3,25.00
oi00104,o00104,p004,4,30.00
oi00105,o00105,p005,1,35.00
oi00106,o00106,p006,2,40.00
oi00107,o00107,p007,3,45.00
oi00108,o00108,p008,4,50.00
oi00109,o00109,p009,1,55.00
oi00110,o00110,p010,2,60.00
oi00111,o00111,p001,3,15.00
oi00112,o00112,p002,4,20.00
oi00113,o00113,p003,1,25.00
oi00114,o00114,p004,2,30.00
oi00115,o00115,p005,3,35.00
oi00116,o00116,p006,4,40.00
oi00117,o00117,p007,1,45.00
