order_id,customer_id,store_id,order_date,order_status
o00001,c0001,s001,2024-01-01,completed
o00002,c0002,s002,2024-01-01,pending
o00003,c0003,s003,2024-01-01,cancelled
o00004,c0004,s004,2024-01-01,completed
o00005,c0005,s005,2024-01-01,pending
o00006,c0006,s006,2024-01-01,cancelled
o00007,c0007,s001,2024-01-01,completed
o00008,c0008,s002,2024-01-01,pending
o00009,c0009,s003,2024-01-01,cancelled
o00010,c0010,s004,2024-01-01,completed
o00011,c0011,s005,2024-01-02,pending
o00012,c0012,s006,2024-01-02,cancelled
o00013,c0013,s001,2024-01-02,completed
o00014,c0014,s002,2024-01-02,pending
o00015,c0015,s003,2024-01-02,cancelled
o00016,c0016,s004,2024-01-02,completed
o00017,c0017,s005,2024-01-02,pending
o00018,c0018,s006,2024-01-02,cancelled
o00019,c0019,s001,2024-01-02,completed
o00020,c0020,s002,2024-01-02,pending
o00021,c0021,s003,2024-01-03,cancelled
o00022,c0022,s004,2024-01-03,completed
o00023,c0023,s005,2024-01-03,pending
o00024,c0024,s006,2024-01-03,cancelled
o00025,c0025,s001,2024-01-03,completed
o00026,c0026,s002,2024-01-03,pending
o00027,c0027,s003,2024-01-03,cancelled
o00028,c0028,s004,2024-01-03,completed
o00029,c0029,s005,2024-01-03,pending
o00030,c0030,s006,2024-01-03,cancelled
o00031,c0031,s001,2024-01-04,completed
o00032,c0032,s002,2024-01-04,pending
o00033,c0033,s003,2024-01-04,cancelled
o00034,c0034,s004,2024-01-04,completed
o00035,c0035,s005,2024-01-04,pending
o00036,c0036,s006,2024-01-04,cancelled
o00037,c0037,s001,2024-01-04,completed
o00038,c0038,s002,2024-01-04,pending
o00039,c0039,s003,2024-01-04,cancelled
o00040,c0040,s004,2024-01-04,completed
o00041,c0041,s005,2024-01-05,pending
o00042,c0042,s006,2024-01-05,cancelled
o00043,c0043,s001,2024-01-05,completed
o00044,c0044,s002,2024-01-05,pending
o00045,c0045,s003,2024-01-05,cancelled
o00046,c0046,s004,2024-01-05,completed
o00047,c0047,s005,2024-01-05,pending
o00048,c0048,s006,2024-01-05,cancelled
o00049,c0049,s001,2024-01-05,completed
o00050,c0050,s002,2024-01-05,pending
o00051,c0051,s003,2024-01-06,cancelled
o00052,c0052,s004,2024-01-06,completed
o00053,c0053,s005,2024-01-06,pending
o00054,c0054,s006,2024-01-06,cancelled
o00055,c0055,s001,2024-01-06,completed
o00056,c0056,s002,2024-01-06,pending
o00057,c0057,s003,2024-01-06,cancelled
o00058,c0058,s004,2024-01-06,completed
o00059,c0059,s005,2024-01-06,pending
o00060,c0060,s006,2024-01-06,cancelled
o00061,c0061,s001,2024-01-07,completed
o00062,c0062,s002,2024-01-07,pending
o00063,c0063,s003,2024-01-07,cancelled
o00064,c0064,s004,2024-01-07,completed
o00065,c0065,s005,2024-01-07,pending
o00066,c0066,s006,2024-01-07,cancelled
o00067,c0067,s001,2024-01-07,completed
o00068,c0068,s002,2024-01-07,pending
o00069,c0069,s003,2024-01-07,cancelled
o00070,c0070,s004,2024-01-07,completed
o00071,c0071,s005,2024-01-08,pending
o00072,c0072,s006,2024-01-08,cancelled
o00073,c0073,s001,2024-01-08,completed
o00074,c0074,s002,2024-01-08,pending
