payment_id,order_id,payment_date,payment_method,payment_status,amount
pay00001,o00001,2024-01-01,credit_card,paid,25.00
pay00002,o00002,2024-01-01,debit_card,pending,30.00
pay00003,o00003,2024-01-01,paypal,refunded,35.00
pay00004,o00004,2024-01-01,bank_transfer,paid,40.00
pay00005,o00005,2024-01-01,credit_card,pending,45.00
pay00006,o00006,2024-01-01,debit_card,refunded,50.00
pay00007,o00007,2024-01-01,paypal,paid,55.00
pay00008,o00008,2024-01-01,bank_transfer,pending,60.00
pay00009,o00009,2024-01-01,credit_card,refunded,65.00
pay00010,o00010,2024-01-01,debit_card,paid,20.00
pay00011,o00011,2024-01-02,paypal,pending,25.00
pay00012,o00012,2024-01-02,bank_transfer,refunded,30.00
pay00013,o00013,2024-01-02,credit_card,paid,35.00
pay00014,o00014,2024-01-02,debit_card,pending,40.00
pay00015,o00015,2024-01-02,paypal,refunded,45.00
pay00016,o00016,2024-01-02,bank_transfer,paid,50.00
pay00017,o00017,2024-01-02,credit_card,pending,55.00
pay00018,o00018,2024-01-02,debit_card,refunded,60.00
pay00019,o00019,2024-01-02,paypal,paid,65.00
pay00020,o00020,2024-01-02,bank_transfer,pending,20.00
pay00021,o00021,2024-01-03,credit_card,refunded,25.00
pay00022,o00022,2024-01-03,debit_card,paid,30.00
pay00023,o00023,2024-01-03,paypal,pending,35.00
pay00024,o00024,2024-01-03,bank_transfer,refunded,40.00
pay00025,o00025,2024-01-03,credit_card,paid,45.00
pay00026,o00026,2024-01-03,debit_card,pending,50.00
pay00027,o00027,2024-01-03,paypal,refunded,55.00
pay00028,o00028,2024-01-03,bank_transfer,paid,60.00
pay00029,o00029,2024-01-03,credit_card,pending,65.00
pay00030,o00030,2024-01-03,debit_card,refunded,20.00
pay00031,o00031,2024-01-04,paypal,paid,25.00
pay00032,o00032,2024-01-04,bank_transfer,pending,30.00
pay00033,o00033,2024-01-04,credit_card,refunded,35.00
pay00034,o00034,2024-01-04,debit_card,paid,40.00
pay00035,o00035,2024-01-04,paypal,pending,45.00
pay00036,o00036,2024-01-04,bank_transfer,refunded,50.00
pay00037,o00037,2024-01-04,credit_card,paid,55.00
pay00038,o00038,2024-01-04,debit_card,pending,60.00
pay00039,o00039,2024-01-04,paypal,refunded,65.00
pay00040,o00040,2024-01-04,bank_transfer,paid,20.00
pay00041,o00041,2024-01-05,credit_card,pending,25.00
pay00042,o00042,2024-01-05,debit_card,refunded,30.00
pay00043,o00043,2024-01-05,paypal,paid,35.00
pay00044,o00044,2024-01-05,bank_transfer,pending,40.00
pay00045,o00045,2024-01-05,credit_card,refunded,45.00
pay00046,o00046,2024-01-05,debit_card,paid,50.00
pay00047,o00047,2024-01-05,paypal,pending,55.00
pay00048,o00048,2024-01-05,bank_transfer,refunded,60.00
pay00049,o00049,2024-01-05,credit_card,paid,65.00
pay00050,o00050,2024-01-05,debit_card,pending,20.00
pay00051,o00051,2024-01-06,paypal,refunded,25.00
pay00052,o00052,2024-01-06,bank_transfer,paid,30.00
pay00053,o00053,2024-01-06,credit_card,pending,35.00
pay00054,o00054,2024-01-06,debit_card,refunded,40.00
pay00055,o00055,2024-01-06,paypal,paid,45.00
pay00056,o00056,2024-01-06,bank_transfer,pending,50.00
pay00057,o00057,2024-01-06,credit_card,refunded,55.00
pay00058,o00058,2024-01-06,debit_card,paid,60.00
pay00059,o00059,2024-01-06,paypal,pending,65.00
